Product Name,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Unlimited Main Quota (GB),Limited Application Quota (GB),Operator,Others,Limited Main Quota Duration (Hari),Limited Application Quota Duration (Hari),Unlimited Application Quota (GB),Unlimited Application Quota Duration (Hari),Total Anggota,ProductName
,4.5,30.0,,,1.0,Axis,,,,,,,AXIS BOOSTR games 1 GB Rp 4.500
,7.5,30.0,,,2.0,Axis,,,,,,,AXIS BOOSTR games 2 GB Rp 7.500
,15.0,30.0,,,5.0,Axis,,,,,,,AXIS BOOSTR games 5 GB Rp 15.000
,0.8,1.0,,,2.0,Axis,,,,,,,AXIS BOOSTR konferensi 2 GB Rp 800
,2.9,7.0,,,5.0,Axis,,,,,,,AXIS BOOSTR konferensi 5 GB Rp 2.900
,8.9,7.0,,,15.0,Axis,,,,,,,AXIS BOOSTR konferensi 15 GB Rp 8.900
,0.6,1.0,500.0,,,Axis,,,,,,,AXIS BOOSTR sunset 500 MB Rp 600
,1.0,1.0,1.0,,,Axis,,,,,,,AXIS BOOSTR sunset 1 GB Rp 1.000
,1.5,1.0,2.0,,,Axis,,,,,,,AXIS BOOSTR sunset 2 GB Rp 1.500
,3.5,7.0,1.0,,,Axis,,,,,,,AXIS BOOSTR sunset 1 GB Rp 3.500
,5.5,7.0,2.0,,,Axis,,,,,,,AXIS BOOSTR sunset 2 GB Rp 5.500
,7.5,7.0,3.0,,,Axis,,,,,,,AXIS BOOSTR sunset 3 GB Rp 7.500
,0.7,1.0,,,0.5,Axis,,,,,,,AXIS BOOSTR komik 5git00 MB Rp 700
,1.0,1.0,,,1.0,Axis,,,,,,,AXIS BOOSTR komik 1 GB Rp 1.000
,1.5,1.0,,,2.0,Axis,,,,,,,AXIS BOOSTR komik 2 GB Rp 1.500
,3.5,7.0,,,1.0,Axis,,,,,,,AXIS BOOSTR komik 1 GB Rp 3.500
,5.5,7.0,,,2.0,Axis,,,,,,,AXIS BOOSTR komik 2 GB Rp 5.500
,7.5,7.0,,,3.0,Axis,,,,,,,AXIS BOOSTR komik 3 GB Rp 7.500
,4.5,30.0,,,1.0,Axis,,,,,,,AXIS BOOSTR komik 1 GB Rp 4.500
,7.5,30.0,,,2.0,Axis,,,,,,,AXIS BOOSTR komik 2 GB Rp 7.500
,15.0,30.0,,,5.0,Axis,,,,,,,AXIS BOOSTR komik 5 GB Rp 15.000
,0.6,0.0416666666666666,0.8,,,Axis,,,,,,,AXIS Warnet 800 MB Rp 600
,5.84,0.125,3.0,,,Axis,DIAMOND12,,,,,,AXIS Warnet mobile-legend 3 GB Rp 5.840
,11.89,0.125,3.0,,,Axis,DIAMOND28,,,,,,AXIS Warnet mobile-legend 3 GB Rp 11.890
,19.59,0.125,3.0,,,Axis,DIAMOND59,,,,,,AXIS Warnet mobile-legend 3 GB Rp 19.590
,28.39,0.25,3.0,,,Axis,DIAMOND85,,,,,,AXIS Warnet mobile-legend 3 GB Rp 28.390
,2.99,0.125,3.0,,,Axis,DIAMOND5,,,,,,AXIS Warnet free-fire 3 GB Rp 2.990
,5.09,0.25,3.0,,,Axis,DIAMOND12,,,,,,AXIS Warnet free-fire 3 GB Rp 5.090
,9.99,0.125,3.0,,,Axis,DIAMOND50,,,,,,AXIS Warnet free-fire 3 GB Rp 9.990
,13.09,0.25,3.0,,,Axis,DIAMOND70,,,,,,AXIS Warnet free-fire 3 GB Rp 13.090
,13.09,0.25,3.0,,,Axis,VOUCHERS40,,,,,,AXIS Warnet arena-of-valor 3 GB Rp 13.090
,21.99,0.125,3.0,,,Axis,VOUCHERS90,,,,,,AXIS Warnet arena-of-valor 3 GB Rp 21.990
,53.09,0.25,3.0,,,Axis,VOUCHERS230,,,,,,AXIS Warnet arena-of-valor 3 GB Rp 53.090
,6.99,0.125,3.0,,,Axis,CP26+5,,,,,,AXIS Warnet call-of-duty-mobile 3 GB Rp 6.990
,13.09,0.25,3.0,,,Axis,CP53+9,,,,,,AXIS Warnet call-of-duty-mobile 3 GB Rp 13.090
,21.99,0.125,3.0,,,Axis,CP106+21,,,,,,AXIS Warnet call-of-duty-mobile 3 GB Rp 21.990
,53.09,0.25,3.0,,,Axis,CP264+53,,,,,,AXIS Warnet call-of-duty-mobile 3 GB Rp 53.090
Freedom Internet 1GB/2 Hari,5.0,2.0,1.0,,,Indosat,,,,,,,
Freedom Internet 2GB/5 Hari,10.0,5.0,2.0,,,Indosat,,,,,,,
Freedom Internet 5GB/5 Hari,15.0,5.0,5.0,,,Indosat,,,,,,,
Freedom Internet 7GB/7 Hari,20.0,7.0,7.0,,,Indosat,,,,,,,
Freedom Internet 15GB/3 Hari,25.0,3.0,15.0,,,Indosat,,,,,,,
Freedom Internet 3GB / 30 Hari,20.0,30.0,3.0,,,Indosat,,,,,,,
Freedom Internet 5GB / 30 Hari,30.0,30.0,5.0,,,Indosat,,,,,,,
Freedom Internet 12GB / 30 Hari,50.0,30.0,12.0,,,Indosat,,,,,,,
Freedom Internet 24GB / 30 Hari,80.0,30.0,24.0,,,Indosat,,,,,,,
Freedom Internet 35GB / 30 Hari,100.0,30.0,35.0,,,Indosat,,,,,,,
Freedom Internet 50GB / 30 Hari,120.0,30.0,50.0,,,Indosat,,,,,,,
Freedom Internet 100GB / 30 Hari,150.0,30.0,100.0,,,Indosat,,,,,,,
Freedom Internet 200GB / 30 Hari,200.0,30.0,200.0,,,Indosat,,,,,,,
Freedom Internet 100GB / 90 Hari,250.0,90.0,100.0,,,Indosat,,,,,,,
Freedom Internet 200GB / 180 Hari,450.0,180.0,200.0,,,Indosat,,,,,,,
Freedom Internet 400GB / 360 Hari,850.0,360.0,400.0,,,Indosat,,,,,,,
Freedom U 5.5GB / 30 Hari,31.0,30.0,1.0,,5.0,Indosat,,,,,,,
Freedom U 10GB / 30 Hari,52.0,30.0,2.0,,8.0,Indosat,,,,,,,
Freedom U 20GB / 30 Hari,74.0,30.0,3.0,,17.0,Indosat,,,,,,,
Freedom U 35GB / 30 Hari,96.0,30.0,7.0,,28.0,Indosat,,,,,,,
Freedom U 45GB / 30 Hari,107.0,30.0,10.0,,35.0,Indosat,,,,,,,
Freedom U JUMBO / 30 Hari,162.0,30.0,90.0,,,Indosat,,,,,,,
