Operator,ProductName,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Limited Application Quota (GB),Unlimited Main Quota (GB),Unlimited Application Quota (GB),Others
AXIS,AXIS Warnet mobile-legend 3 GB Rp 19.590,19.59,0.125,3.0,0.0,0,0,DIAMOND59
AXIS,AXIS Warnet mobile-legend 3 GB Rp 28.390,28.39,0.25,3.0,0.0,0,0,DIAMOND85
AXIS,AXIS Warnet free-fire 3 GB Rp 2.990,2.99,0.125,3.0,0.0,0,0,DIAMOND5
AXIS,AXIS Warnet free-fire 3 GB Rp 5.090,5.09,0.25,3.0,0.0,0,0,DIAMOND12
AXIS,AXIS Warnet free-fire 3 GB Rp 9.990,9.99,0.125,3.0,0.0,0,0,DIAMOND50
AXIS,AXIS Warnet free-fire 3 GB Rp 13.090,13.09,0.25,3.0,0.0,0,0,DIAMOND70
AXIS,AXIS Warnet arena-of-valor 3 GB Rp 13.090,13.09,0.25,3.0,0.0,0,0,VOUCHERS40
AXIS,AXIS Warnet arena-of-valor 3 GB Rp 21.990,21.99,0.125,3.0,0.0,0,0,VOUCHERS90
AXIS,AXIS Warnet arena-of-valor 3 GB Rp 53.090,53.09,0.25,3.0,0.0,0,0,VOUCHERS230
AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 6.990,6.99,0.125,3.0,0.0,0,0,CP26+5
AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 13.090,13.09,0.25,3.0,0.0,0,0,CP53+9
AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 21.990,21.99,0.125,3.0,0.0,0,0,CP106+21
AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 53.090,53.09,0.25,3.0,0.0,0,0,CP264+53
