,Operator,ProductName,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Limited Application Quota (GB),Unlimited Main Quota (GB),Unlimited Application Quota (GB),Others
59,AXIS,AXIS BOOSTR komik 1 GB Rp 4.500,4.5,30.0,0.0,1.0,0,0,
60,AXIS,AXIS BOOSTR komik 2 GB Rp 7.500,7.5,30.0,0.0,2.0,0,0,
61,AXIS,AXIS BOOSTR komik 5 GB Rp 15.000,15.0,30.0,0.0,5.0,0,0,
62,AXIS,AXIS Warnet 800 MB Rp 600,600.0,0.041666666666666664,800.0,0.0,0,0,
63,AXIS,"AXIS Warnet 1,5 GB Rp 1.390",1.39,0.08333333333333333,1.5,0.0,0,0,
64,AXIS,AXIS Warnet 3 GB Rp 2.190,2.19,0.125,3.0,0.0,0,0,
65,AXIS,AXIS Warnet 3 GB Rp 3.100,3.1,0.25,3.0,0.0,0,0,
66,AXIS,AXIS Warnet mobile-legend 3 GB Rp 5.840,5.84,0.125,3.0,0.0,0,0,DIAMOND12
67,AXIS,AXIS Warnet mobile-legend 3 GB Rp 11.890,11.89,0.125,3.0,0.0,0,0,DIAMOND28
68,AXIS,AXIS Warnet mobile-legend 3 GB Rp 19.590,19.59,0.125,3.0,0.0,0,0,DIAMOND59
69,AXIS,AXIS Warnet mobile-legend 3 GB Rp 28.390,28.39,0.25,3.0,0.0,0,0,DIAMOND85
70,AXIS,AXIS Warnet free-fire 3 GB Rp 2.990,2.99,0.125,3.0,0.0,0,0,DIAMOND5
71,AXIS,AXIS Warnet free-fire 3 GB Rp 5.090,5.09,0.25,3.0,0.0,0,0,DIAMOND12
72,AXIS,AXIS Warnet free-fire 3 GB Rp 9.990,9.99,0.125,3.0,0.0,0,0,DIAMOND50
73,AXIS,AXIS Warnet free-fire 3 GB Rp 13.090,13.09,0.25,3.0,0.0,0,0,DIAMOND70
74,AXIS,AXIS Warnet arena-of-valor 3 GB Rp 13.090,13.09,0.25,3.0,0.0,0,0,VOUCHERS40
75,AXIS,AXIS Warnet arena-of-valor 3 GB Rp 21.990,21.99,0.125,3.0,0.0,0,0,VOUCHERS90
76,AXIS,AXIS Warnet arena-of-valor 3 GB Rp 53.090,53.09,0.25,3.0,0.0,0,0,VOUCHERS230
77,AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 6.990,6.99,0.125,3.0,0.0,0,0,CP26+5
78,AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 13.090,13.09,0.25,3.0,0.0,0,0,CP53+9
79,AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 21.990,21.99,0.125,3.0,0.0,0,0,CP106+21
80,AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 53.090,53.09,0.25,3.0,0.0,0,0,CP264+53
